0,7,11,7,9,11,13,15,6,11,13,11,9,14,15,11,14,11,7,10,16,14,12,6,16,13,8,7,12,15,12,10,9,7,12,8,11,11,15,16,18,18,14,15,7,13,10,11,12,15,15,11,10,16,15,16,8,14,18,19,18,18,17,16,16,18,16,9,16,17,18,17,17,18,15,13,15,15,12,14,18,17,20,20,19,19,10,15,14,12,17,17,17,16,16,20,17,19,18,10
7,0,13,4,3,6,9,13,7,6,13,8,12,14,13,7,11,7,6,7,13,12,11,11,14,13,9,6,10,11,13,11,7,3,14,5,8,10,12,16,17,15,9,12,10,16,12,17,18,20,20,15,15,19,18,20,11,18,21,21,20,19,18,16,20,20,19,9,18,18,20,18,21,21,19,14,15,17,13,19,21,20,21,22,20,20,12,15,15,14,20,22,21,21,19,22,17,19,19,14
11,13,0,11,15,14,11,9,13,14,7,10,11,6,9,15,12,12,15,15,18,13,6,8,12,18,17,16,9,19,5,5,18,15,12,13,11,18,20,19,22,17,15,15,5,11,3,10,9,10,10,6,5,7,6,12,7,10,14,13,11,10,8,9,9,10,7,11,6,7,14,11,11,11,14,5,11,18,9,16,10,8,21,18,18,15,4,14,4,7,9,15,17,13,17,19,19,18,15,3
7,4,11,0,4,5,8,11,9,6,11,6,12,12,11,6,9,7,6,6,11,10,8,10,11,12,10,8,8,10,11,8,9,6,14,6,8,10,12,14,16,13,8,10,9,16,10,15,16,18,18,14,13,17,16,17,10,15,19,18,17,16,15,13,18,17,16,9,16,15,18,15,18,18,16,11,12,15,13,17,18,18,19,19,18,17,9,12,13,13,18,20,19,18,17,20,15,16,16,12
9,3,15,4,0,4,9,13,10,5,14,8,15,15,13,4,10,7,6,6,11,11,11,13,13,13,10,8,10,9,14,11,7,5,17,7,10,9,10,15,15,14,7,10,12,19,13,18,20,22,22,17,16,21,19,21,13,18,22,22,20,19,18,16,22,20,19,11,19,18,20,17,22,22,19,15,14,17,15,20,22,21,21,21,19,20,13,14,16,16,22,23,21,22,19,22,16,17,18,15
11,6,14,5,4,0,6,11,12,3,13,6,16,14,11,4,8,6,9,7,10,10,10,14,11,15,13,11,9,9,14,11,10,8,17,8,9,11,11,15,16,13,5,8,13,19,12,19,20,23,22,18,17,21,19,21,14,18,22,21,19,18,17,14,22,19,18,12,18,17,20,16,22,21,19,14,13,18,16,22,22,21,21,21,19,19,12,13,16,16,21,24,22,22,20,22,17,16,17,16
13,9,11,8,9,6,0,6,14,6,10,3,16,9,6,9,5,6,13,11,13,10,6,14,8,17,17,15,6,13,11,8,15,12,17,10,9,15,15,17,18,13,7,8,11,18,10,19,19,21,20,16,15,17,16,19,13,17,20,19,16,14,13,10,19,16,15,12,14,12,19,13,20,18,19,10,10,20,14,22,18,17,22,21,18,17,10,13,12,14,18,23,22,21,20,22,18,16,15,14
15,13,9,11,13,11,6,0,16,11,9,7,17,7,5,12,6,10,16,14,14,9,4,14,6,18,19,18,8,15,10,6,18,16,17,14,12,17,18,18,20,13,10,10,11,18,8,17,17,18,17,14,13,14,13,16,13,13,17,15,12,9,8,5,15,11,10,14,10,7,15,9,16,14,16,6,7,19,14,21,14,12,21,18,16,13,7,11,9,13,14,20,20,18,19,20,18,14,12,11
6,7,13,9,10,12,14,16,0,11,12,11,6,15,15,13,16,10,10,13,19,17,13,6,19,18,12,6,10,18,12,13,11,6,8,5,8,15,18,21,22,21,15,18,8,11,11,16,14,18,16,12,13,17,15,21,8,19,23,23,22,21,20,19,19,22,19,4,18,18,23,21,21,22,21,16,19,21,9,20,22,20,26,25,24,24,14,19,15,11,20,22,22,21,22,25,22,24,23,13
11,6,14,6,5,3,6,11,11,0,11,5,15,12,9,7,9,3,10,10,13,12,9,13,12,17,14,11,7,12,12,11,12,8,15,6,7,13,14,18,18,15,7,10,11,18,11,19,20,22,21,17,16,20,17,22,13,19,23,22,20,18,17,14,21,20,18,10,17,16,22,17,22,22,21,14,14,20,13,23,22,20,23,23,21,20,12,15,15,14,21,25,24,23,21,24,19,19,18,15
